Blog	how	say	re	know	but	don	do	too	well	once	not	only	one	problem	also	social	media	up	public	bad	better	play	out	than	ever	why	so	hard	things	like	we	if	were	or	was	my	other	looks	what	time	our	company	when	had	talk	their	which	companies	com	your	an	us	where	people	are	by	story	all	service	everyone	support	ve	been	called	years	now	each	whether	day	every	as	wrote	few	months	its	worth	new	first	users	working	then	got	some	important	those	would	help	because	they	d	made	email	them	down	something	very	didn	have	much	less	who	started	best	into	part	month	after	show	seen	before	many	could	off	while	took	put	whole	take	think	right	here	did	from	start	be	going	over	ll	work	will	life	number	look	me	great	including	question	does	has	way	lot	getting	real	doing	can	most	using	around	past	being	there	looking	back	again	everything	need	get	end	went	good	come	two	full	data	design	own	any	someone	use	just	m	keep	light	see	feel	may	make	future	let	making	web	long	year	easy	bit	finally	find	small	always	found	no	different	though	early	project	last	these	run	enough	between	recently	available	her	book	she	talking	through	world	black	doesn	used	often	since	week	during	such	thing	same	actually	go	content	should	worked	never	writing	build	place	another	still	special	want	post	reading	set	next	change	both	coming	might	without	read	least	based	four	isn	really	free	sure	self	human	am	big	stop	days	love	won	answer	online	please	ago	thought	idea	business	information	today	amazon	links	second	john	live	google	art	blog	his	become	times	already	having	against	away	he	anyone	even	call	fact	open	facebook	under	him	twitter	president	private	little	night	tell	makes	million	left	friends	said	probably	tools	car	pretty	death	morning	house	old	york	march	uber	phone	almost	three	trump	internet	money	white	told	man	appeared	site	game	nbsp	app	news	top	home	high	video	youtube	series	according	cambridge	analytica
Mashable	3	0	12	3	13	3	6	3	2	1	18	5	13	0	25	16	10	9	0	1	4	0	12	3	4	5	14	2	2	9	11	8	3	17	16	10	2	2	6	5	4	10	8	1	2	4	11	7	8	16	14	4	3	15	21	9	1	12	1	0	0	4	10	2	7	4	0	2	10	2	16	2	3	2	14	0	17	12	3	1	6	1	5	0	1	2	2	1	6	5	4	6	0	2	2	2	4	12	6	1	14	1	5	7	1	0	12	1	1	0	2	5	0	8	0	1	1	3	5	0	3	3	26	2	20	2	8	2	1	12	1	0	4	2	1	0	1	2	19	7	2	2	1	0	15	4	1	5	1	1	6	2	4	4	1	3	7	3	0	3	2	5	2	12	0	0	2	2	2	9	2	2	2	22	2	3	3	1	2	1	2	3	2	2	1	4	2	2	2	3	1	3	2	0	0	4	3	0	3	0	2	0	3	0	3	0	5	7	1	1	8	0	2	2	2	1	2	2	3	1	1	4	2	1	1	2	1	9	5	0	2	2	0	6	1	3	0	6	2	2	30	1	3	2	2	2	0	0	3	0	1	3	0	3	0	1	0	1	0	2	1	1	2	1	5	4	0	0	0	1	1	0	0	18	2	0	2	4	2	0	14	1	5	2	2	1	23	1	1	5	4	0	1	1	1	0	1	2	2	5	3	0	7	3	1	1	1	0	5	9	0	3	3	4	30	1	0	2	3	7	0	0	4	0	2	10	1	3	1	4	1	1	5	15	15
The Viral Garden	60	6	4	22	80	15	40	6	12	3	23	16	40	6	10	135	123	23	0	3	10	2	27	10	3	21	62	0	6	27	48	61	36	38	94	68	19	1	44	26	7	13	38	40	1	72	19	30	22	70	43	16	18	68	104	24	2	34	5	10	2	20	11	5	6	19	5	1	17	10	88	7	26	7	11	1	21	23	10	1	23	10	17	4	12	31	10	38	90	5	8	3	50	2	9	23	14	61	6	5	16	14	7	9	7	1	8	5	3	11	25	8	5	8	10	4	1	7	32	7	25	13	44	4	78	10	15	17	17	47	2	5	2	57	13	1	0	5	13	27	14	6	3	13	42	23	30	7	2	21	37	10	20	3	0	8	21	5	7	17	8	8	3	0	0	24	8	14	20	21	18	3	0	22	2	12	20	1	8	4	1	8	19	2	8	2	9	5	6	10	19	3	5	3	4	12	25	0	5	2	6	0	5	0	2	4	4	4	1	2	1	9	3	5	5	8	17	16	11	14	15	16	5	10	5	5	3	9	14	1	34	43	8	0	9	3	6	11	5	2	10	5	0	5	6	10	6	11	4	1	25	12	2	10	2	11	3	8	3	5	11	18	12	4	4	0	9	3	1	3	0	0	48	8	10	1	2	2	0	3	17	3	19	1	5	2	14	1	3	61	0	0	3	3	11	4	0	10	12	13	12	7	0	3	0	0	0	2	2	3	0	0	2	3	0	0	3	0	3	1	0	12	1	14	0	1	4	0	1	0	0	9	2	0	0
NewsBusters	4	0	4	2	8	1	1	0	4	0	13	4	3	2	0	0	5	2	1	0	1	2	7	4	1	1	10	0	5	8	14	5	8	9	16	0	2	0	4	1	3	1	3	4	0	9	8	1	1	1	11	2	1	5	6	24	4	9	1	2	0	2	5	1	2	4	1	0	0	0	34	0	2	2	6	0	12	3	0	0	4	2	7	1	2	8	1	3	9	8	3	0	1	4	0	1	3	7	3	0	7	2	1	4	2	0	9	13	3	1	2	1	3	4	1	0	0	4	0	2	0	4	12	2	9	2	9	0	3	1	4	1	1	1	4	0	2	0	13	3	0	0	2	0	2	5	1	5	0	6	1	1	6	1	1	2	2	2	0	5	3	1	1	0	0	1	2	0	0	6	3	3	0	0	0	3	1	0	1	1	0	1	5	0	2	1	0	1	1	3	1	2	1	4	0	6	2	2	1	6	1	0	14	2	5	0	0	7	2	1	2	0	2	8	8	3	1	0	1	3	1	1	0	4	1	0	5	2	2	4	7	2	0	0	3	0	0	0	1	0	0	1	0	1	0	2	3	0	0	1	0	1	2	2	5	2	0	1	1	3	0	3	0	1	3	0	0	4	4	3	0	2	0	26	1	2	0	1	1	3	13	0	5	3	5	2	2	0	6	0	18	0	4	6	1	0	0	6	1	0	0	0	0	1	2	9	3	1	4	9	0	0	1	3	31	1	1	3	0	2	3	0	2	25	0	12	1	0	2	3	0	1	0	0	0
PaulStamatiou.com - Technology, Design and Photography	11	0	0	1	1	0	3	2	0	0	0	16	1	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	2	0	0	0	0	1	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	2	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	2	0	4	0	1	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	4	0	1	3	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	16	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	1	0	0	0
O'Reilly Radar	0	0	3	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	1	0	0	1	0	0	0	0	1	0	2	0	0	3	0	3	0	0	1	2	1	2	6	0	0	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	4	1	0	0	1	0	1	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	7	0	1	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Seth Godin's Blog on marketing, tribes and respect	2	1	2	1	4	2	0	0	1	0	2	0	2	0	1	0	0	2	0	0	4	0	0	3	0	0	0	1	1	4	14	3	0	4	0	2	1	0	4	1	2	0	2	1	0	0	1	0	0	0	2	1	3	4	7	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	2	0	2	2	0	0	0	0	1	0	1	2	1	0	0	0	1	0	0	0	0	2	1	4	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	5	0	1	0	0	2	2	0	0	0	0	5	0	0	0	0	1	1	1	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	3	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Slashdot	7	3	1	0	11	1	0	0	4	1	10	4	7	0	7	0	0	6	2	0	0	0	3	7	1	1	3	1	0	0	4	2	2	12	15	1	8	0	0	1	1	17	6	3	0	4	8	2	1	1	20	8	7	5	25	19	15	1	4	0	1	0	7	2	0	3	1	2	0	1	15	0	1	1	13	0	6	2	10	1	1	1	7	1	2	12	1	3	7	0	4	1	6	5	0	3	0	17	5	3	4	0	0	12	1	2	5	1	0	2	2	6	2	2	0	1	3	0	0	3	0	3	23	1	18	0	5	0	3	5	0	3	1	0	0	2	2	1	12	1	0	2	1	0	5	6	2	3	3	0	5	0	3	0	1	1	2	0	1	0	1	9	0	8	0	2	3	0	2	2	0	2	1	2	0	7	1	0	1	1	0	3	10	0	0	0	2	0	0	0	1	0	1	0	0	5	4	1	0	3	0	1	0	1	3	0	3	6	4	2	3	2	1	0	1	2	0	2	0	0	1	0	3	0	0	2	1	1	5	1	0	0	1	0	1	2	1	1	0	1	18	1	3	1	2	0	4	0	1	4	0	1	0	1	0	0	2	1	0	0	0	0	4	6	1	11	0	2	0	3	2	1	0	9	3	0	1	0	2	2	9	0	1	0	1	1	7	0	0	0	2	2	0	0	0	2	1	2	0	14	1	0	1	0	0	0	0	1	1	3	4	4	0	2	1	5	2	0	1	0	0	4	0	0	0	2	2	0	0	2	0	0	10	2	2
ThinkProgress	3	0	1	1	2	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	3	0	1	0	4	0	0	2	0	1	2	0	0	0	4	0	0	0	2	4	0	1	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	2	0	0	4	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	6	0	1	0	3	0	1	0	1	1	0	0	0	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	3	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	2	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	3
The Dish	6	1	2	6	10	4	3	1	1	0	6	3	10	1	0	0	0	7	1	1	2	0	3	4	0	3	6	1	3	0	18	2	1	3	10	17	2	0	9	6	4	0	5	4	2	7	2	0	1	12	9	3	0	5	7	12	3	6	0	0	2	3	6	0	11	2	0	0	9	1	21	1	0	0	0	1	2	4	0	0	7	0	1	0	2	1	0	1	8	1	2	3	0	1	0	1	3	5	2	1	5	1	0	1	3	0	2	0	0	1	3	1	0	0	1	0	0	1	1	0	2	2	13	0	11	2	3	3	3	5	1	1	3	11	0	1	2	0	8	0	0	0	1	1	4	5	0	4	3	0	3	2	3	0	0	0	2	3	1	0	0	1	0	0	0	1	1	0	1	4	1	1	0	0	0	1	2	0	0	0	0	6	3	0	0	0	2	0	1	1	6	1	1	1	0	3	5	0	1	1	4	0	1	3	1	0	4	7	0	1	0	2	2	1	2	0	1	2	0	3	2	3	0	2	2	0	1	2	2	0	1	4	3	0	1	0	0	0	1	2	9	2	0	0	1	0	0	0	0	0	2	2	0	0	7	1	1	0	3	2	2	3	0	0	1	0	1	0	1	1	0	1	6	11	1	1	0	0	1	0	3	2	4	0	1	2	0	2	0	0	1	1	2	0	0	0	1	0	1	4	2	0	0	0	0	2	2	3	0	0	0	0	1	1	0	2	1	0	1	1	0	2	1	0	0	2	0	1	1	0	0	0	2	0	0
WIL WHEATON dot NET	22	13	12	24	59	15	25	10	5	4	36	11	14	2	5	1	2	35	1	6	3	6	27	9	7	5	58	1	7	39	41	24	22	36	67	100	5	2	28	16	7	0	23	13	5	12	9	0	0	10	23	9	4	28	37	14	2	28	1	3	0	19	24	0	16	20	1	0	13	11	31	5	15	3	4	1	4	7	2	3	14	11	19	3	7	15	6	36	21	26	14	1	13	12	12	5	23	43	14	1	39	5	9	23	4	0	8	5	3	10	5	7	6	8	7	4	2	5	11	10	15	6	24	6	32	11	7	7	9	16	11	0	4	104	1	3	1	6	16	22	8	4	4	9	37	7	4	11	3	6	27	2	20	8	10	10	20	1	8	8	7	6	0	3	1	7	12	3	4	37	47	4	4	19	20	4	9	3	5	5	0	8	7	2	7	1	2	1	7	1	8	5	8	1	0	8	7	3	5	0	1	2	3	2	9	3	10	7	2	7	4	0	8	2	0	1	12	3	5	17	1	1	5	8	2	0	7	7	10	0	19	4	2	7	4	2	1	3	0	5	5	3	1	3	10	15	4	1	1	1	33	4	3	4	13	4	1	3	0	8	2	3	1	4	7	0	0	5	1	5	0	0	7	17	3	4	3	3	0	4	60	4	13	2	0	3	1	2	27	3	0	0	22	1	13	4	0	3	4	8	5	1	2	2	1	3	0	5	0	0	0	1	4	6	0	3	1	2	4	1	1	0	8	2	0	3	1	1	1	0	2	1	0	0	0
43 Folders	60	21	48	40	93	46	74	14	24	4	120	22	47	15	27	1	2	45	1	6	27	6	44	36	26	32	75	16	55	68	67	59	16	105	84	188	22	3	73	46	35	2	30	26	22	19	45	2	17	83	45	21	20	54	50	101	6	58	3	8	3	40	31	3	16	41	13	14	16	12	123	2	13	4	9	5	28	29	5	7	25	2	28	13	27	20	30	57	48	45	28	11	22	9	23	29	8	74	37	16	70	2	14	21	17	2	10	4	1	13	20	24	13	10	2	3	4	10	31	24	28	13	34	11	96	7	29	37	59	53	32	9	5	82	14	8	3	5	28	36	39	11	19	16	85	41	8	10	8	17	33	2	25	10	12	21	50	7	2	26	5	10	7	3	10	13	38	7	11	70	47	10	1	18	7	15	45	8	17	11	10	21	14	5	7	6	10	2	20	1	37	7	2	4	3	13	24	6	15	3	1	5	17	25	29	4	7	13	1	18	6	19	5	11	2	6	33	9	14	21	1	16	5	26	4	2	7	10	20	5	26	2	13	3	3	13	8	1	16	12	43	11	2	5	0	77	8	10	9	4	14	25	11	7	15	10	2	1	16	3	10	6	8	6	13	1	2	8	15	8	2	3	5	28	12	3	13	11	4	7	39	14	50	3	9	4	1	20	12	4	0	4	28	5	17	5	0	2	5	14	8	5	3	11	4	7	2	10	1	2	0	1	13	3	0	3	5	0	6	7	0	2	2	1	8	1	2	6	0	14	0	0	0	0	0
456 Berea Street	4	0	0	0	9	4	5	2	4	0	4	1	3	3	1	0	0	2	0	0	0	0	1	6	2	2	6	0	1	3	2	4	3	9	6	3	0	1	2	0	0	0	7	1	0	3	4	0	0	1	4	0	1	3	6	3	0	3	0	0	1	3	3	0	1	1	2	0	0	2	5	2	0	0	7	1	0	0	0	1	1	0	5	1	1	0	2	1	1	3	0	0	2	4	0	1	1	8	0	0	1	0	1	1	1	0	3	0	1	2	4	1	0	2	0	0	0	1	3	0	2	0	4	0	6	1	4	0	1	5	0	1	6	2	1	0	0	0	3	1	1	1	0	1	6	3	3	0	0	2	6	0	0	1	0	3	2	0	0	1	1	1	12	5	2	1	3	0	9	1	0	1	0	4	0	5	5	0	0	2	4	1	0	1	2	1	1	2	1	1	2	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	2	2	2	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	4	0	3	0	1	1	0	0	1	10	3	0	0	3	3	0	1	0	0	0	0	1	0	0	1	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	1	0	0
Autoblog	0	0	5	2	6	0	2	0	3	1	4	1	4	1	1	0	0	4	0	0	3	0	2	2	1	2	2	0	1	4	8	5	1	6	9	0	0	0	2	6	43	3	4	1	0	2	3	0	1	4	12	1	1	2	3	6	2	9	5	1	0	0	5	1	6	10	0	1	0	0	11	0	5	0	8	0	34	10	1	3	0	1	3	0	4	3	1	0	1	9	2	39	2	0	0	1	0	2	0	5	3	0	0	5	2	1	13	12	0	2	4	4	6	0	1	0	0	0	0	3	6	0	9	3	19	5	5	5	1	19	4	0	2	0	1	3	0	4	20	2	0	0	1	0	6	3	1	0	0	0	2	0	0	0	1	2	4	2	0	0	2	6	0	2	3	3	1	0	39	1	1	0	7	40	0	0	4	9	2	0	0	1	5	0	1	4	4	0	1	1	3	0	0	0	0	8	2	4	1	1	1	1	0	0	0	2	3	2	0	0	0	0	1	3	1	1	2	3	1	1	0	4	0	0	0	0	0	1	1	0	2	1	40	0	5	0	0	0	0	0	1	4	5	2	0	1	0	0	15	2	0	3	0	0	0	8	0	5	39	1	0	1	0	6	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	4	0	39	0	0	1	1	1	0	1	0	0	1	0	4	2	0	34	0	9	0	1	0	12	1	14	0	0	3	0	0	1	1	4	0	39	1	0	156	0	3	8	1	4	4	0	0	2	0	0
The Write News	0	0	0	0	0	2	0	0	0	0	5	0	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	1	0	0	15	0	0	0	1	4	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	10	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	11	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
blog maverick	1	0	0	1	2	2	3	0	0	0	5	0	3	1	0	1	2	1	4	0	1	0	2	4	0	1	0	0	0	2	8	2	2	4	3	4	1	0	2	2	3	1	3	1	0	1	1	1	3	1	1	3	0	1	6	4	0	2	0	1	0	0	2	1	0	1	0	0	2	1	1	0	0	0	0	2	1	0	0	0	1	0	3	2	0	1	0	0	0	0	0	1	1	0	0	2	0	6	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	2	0	0	3	0	2	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	1	2	0	1	1	0	0	0	0	4	0	2	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	2	2	0	0	1	0	0	2	2	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	1	0	2	1	3	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0
Boing Boing	2	2	3	3	17	1	3	3	3	1	9	2	8	1	3	1	0	10	1	0	1	0	9	5	0	4	6	1	1	8	7	2	12	9	24	14	6	4	10	6	3	2	10	4	1	15	4	0	2	8	12	4	1	6	15	14	2	8	1	1	1	0	7	2	6	6	4	2	4	4	17	3	3	0	4	2	8	2	0	1	3	1	3	1	4	4	1	3	8	3	3	0	2	2	1	2	1	11	2	1	14	0	1	7	4	2	4	1	1	2	5	2	3	3	4	1	1	4	2	3	2	3	19	2	17	5	7	3	1	6	0	2	4	5	5	0	1	1	12	3	4	1	0	1	12	3	2	0	0	4	10	1	2	0	1	1	3	1	0	5	4	6	1	3	0	6	7	2	5	12	5	2	1	2	0	6	2	2	1	0	0	3	3	0	3	0	3	0	0	4	7	1	1	1	0	6	4	3	0	0	2	0	1	0	3	0	0	4	0	2	1	2	0	2	2	0	3	2	1	0	0	3	0	1	0	2	1	1	7	1	1	1	1	7	0	1	2	0	0	2	1	3	2	1	1	1	0	1	3	2	2	1	0	0	1	2	2	2	0	1	1	0	2	0	2	4	0	0	1	1	1	3	0	18	0	1	0	2	0	0	15	1	2	0	0	0	7	3	2	1	0	1	2	2	2	2	8	1	0	7	1	2	2	1	4	1	5	2	1	1	1	3	2	6	0	0	2	7	1	0	0	3	3	2	0	4	1	0	2	7	3	0	6	6	6
BuzzMachine	0	1	0	0	2	0	3	2	1	0	14	1	3	2	0	1	5	1	4	2	2	0	0	0	0	0	5	0	1	0	7	0	1	1	1	3	1	0	7	0	9	0	2	2	0	1	0	2	0	0	0	1	0	3	4	6	0	4	0	0	0	0	1	1	1	3	0	0	0	0	4	0	0	0	1	0	3	17	2	1	0	0	1	0	0	1	2	0	6	0	0	0	2	1	0	0	1	3	0	0	0	0	0	2	0	0	0	0	0	2	2	1	0	1	0	0	0	0	0	1	2	0	5	2	6	2	3	0	0	5	0	0	0	1	0	1	0	0	1	0	0	0	3	0	4	1	0	2	0	0	2	2	2	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	1	2	2	1	2	2	0	1	2	2	1	0	0	2	0	0	0	0	0	2	1	0	3	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	1	0	0	0	3	0	0	0	0	2	0	0	0	0	4	15	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	2	0	0	4	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	2	0	0	2	1	0	8	2	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	15	0	0	0	0	20	0	0	0	0	0	0	0	0	0
Captain's Quarters	1	0	0	0	1	0	0	1	1	1	3	1	2	0	2	0	1	1	1	1	0	0	4	2	0	0	0	0	0	0	1	1	0	0	1	2	2	0	0	1	0	0	2	3	1	6	0	0	0	0	1	3	0	0	0	4	4	0	0	0	0	0	2	0	2	0	1	0	2	0	4	0	1	2	3	0	0	2	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	2	0	0	1	2	0	1	1	1	1	2	0	0	3	1	1	0	0	0	1	1	0	0	0	1	0	0	0	3	3	1	4	0	1	0	1	5	0	0	1	2	0	0	0	0	7	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	3	1	6	1	0	0	0	0	0	6	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0
Copyblogger	7	0	6	0	3	0	0	0	0	0	5	0	1	1	0	2	2	2	0	1	0	0	2	3	1	3	3	0	1	2	6	1	1	6	0	8	2	0	3	1	1	0	3	1	0	0	0	0	0	15	2	0	1	2	2	2	0	1	0	1	0	1	0	0	1	2	0	2	0	1	0	0	0	0	0	0	2	10	0	0	0	0	3	0	1	0	1	3	1	1	0	0	1	0	0	0	0	4	0	0	1	0	0	3	3	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	2	2	1	1	0	0	5	1	0	0	1	1	3	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	3	1	1	1	0	1	0	2	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	2	0	10	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	5	0	0	0	0	1	0	4	1	0	0	1	0	0	1	0	0	1	10	0	0	1	0	0	0	1	1	10	0	0	0	0	3	3	0	0	0	0	0	2	0	4	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0	0	1	1	0	0	0	0	0	0
